Date,qqq,lqd,hyg,tlt,ief,shy,gld,slv,efa,eem,iyr,xle,xlk,xlf,GC=F,RPAR
2007-07-02,,,,,,,,,,,,,,,,
2007-07-03,,,,,,,,,,,,,,,,
2007-07-05,,,,,,,,,,,,,,,,
2007-07-06,,,,,,,,,,,,,,,,
2007-07-09,,,,,,,,,,,,,,,,
2007-07-10,,,,,,,,,,,,,,,,
2007-07-11,,,,,,,,,,,,,,,,
2007-07-12,,,,,,,,,,,,,,,,
2007-07-13,,,,,,,,,,,,,,,,
2007-07-16,,,,,,,,,,,,,,,,
2007-07-17,,,,,,,,,,,,,,,,
2007-07-18,,,,,,,,,,,,,,,,
2007-07-19,,,,,,,,,,,,,,,,
2007-07-20,,,,,,,,,,,,,,,,
2007-07-23,,,,,,,,,,,,,,,,
2007-07-24,,,,,,,,,,,,,,,,
2007-07-25,,,,,,,,,,,,,,,,
2007-07-26,,,,,,,,,,,,,,,,
2007-07-27,,,,,,,,,,,,,,,,
2007-07-30,,,,,,,,,,,,,,,,
2007-07-31,,,,,,,,,,,,,,,,
2007-08-01,,,,,,,,,,,,,,,,
2007-08-02,,,,,,,,,,,,,,,,
2007-08-03,,,,,,,,,,,,,,,,
2007-08-06,,,,,,,,,,,,,,,,
2007-08-07,,,,,,,,,,,,,,,,
2007-08-08,,,,,,,,,,,,,,,,
2007-08-09,,,,,,,,,,,,,,,,
2007-08-10,,,,,,,,,,,,,,,,
2007-08-13,,,,,,,,,,,,,,,,
2007-08-14,,,,,,,,,,,,,,,,
2007-08-15,,,,,,,,,,,,,,,,
2007-08-16,,,,,,,,,,,,,,,,
2007-08-17,,,,,,,,,,,,,,,,
2007-08-20,,,,,,,,,,,,,,,,
2007-08-21,,,,,,,,,,,,,,,,
2007-08-22,,,,,,,,,,,,,,,,
2007-08-23,,,,,,,,,,,,,,,,
2007-08-24,,,,,,,,,,,,,,,,
2007-08-27,,,,,,,,,,,,,,,,
2007-08-28,,,,,,,,,,,,,,,,
2007-08-29,,,,,,,,,,,,,,,,
2007-08-30,,,,,,,,,,,,,,,,
2007-08-31,,,,,,,,,,,,,,,,
2007-09-04,,,,,,,,,,,,,,,,
2007-09-05,,,,,,,,,,,,,,,,
2007-09-06,,,,,,,,,,,,,,,,
2007-09-07,,,,,,,,,,,,,,,,
2007-09-10,,,,,,,,,,,,,,,,
2007-09-11,,,,,,,,,,,,,,,,
2007-09-12,,,,,,,,,,,,,,,,
2007-09-13,,,,,,,,,,,,,,,,
2007-09-14,,,,,,,,,,,,,,,,
2007-09-17,,,,,,,,,,,,,,,,
2007-09-18,,,,,,,,,,,,,,,,
2007-09-19,,,,,,,,,,,,,,,,
2007-09-20,,,,,,,,,,,,,,,,
2007-09-21,,,,,,,,,,,,,,,,
2007-09-24,,,,,,,,,,,,,,,,
2007-09-25,,,,,,,,,,,,,,,,
2007-09-26,,,,,,,,,,,,,,,,
2007-09-27,,,,,,,,,,,,,,,,
2007-09-28,,,,,,,,,,,,,,,,
2007-10-01,,,,,,,,,,,,,,,,
2007-10-02,,,,,,,,,,,,,,,,
2007-10-03,,,,,,,,,,,,,,,,
2007-10-04,,,,,,,,,,,,,,,,
2007-10-05,,,,,,,,,,,,,,,,
2007-10-08,,,,,,,,,,,,,,,,
2007-10-09,,,,,,,,,,,,,,,,
2007-10-10,,,,,,,,,,,,,,,,
2007-10-11,,,,,,,,,,,,,,,,
2007-10-12,,,,,,,,,,,,,,,,
2007-10-15,,,,,,,,,,,,,,,,
2007-10-16,,,,,,,,,,,,,,,,
2007-10-17,,,,,,,,,,,,,,,,
2007-10-18,,,,,,,,,,,,,,,,
2007-10-19,,,,,,,,,,,,,,,,
2007-10-22,,,,,,,,,,,,,,,,
2007-10-23,,,,,,,,,,,,,,,,
2007-10-24,,,,,,,,,,,,,,,,
2007-10-25,,,,,,,,,,,,,,,,
2007-10-26,,,,,,,,,,,,,,,,
2007-10-29,,,,,,,,,,,,,,,,
2007-10-30,,,,,,,,,,,,,,,,
2007-10-31,,,,,,,,,,,,,,,,
2007-11-01,,,,,,,,,,,,,,,,
2007-11-02,,,,,,,,,,,,,,,,
2007-11-05,,,,,,,,,,,,,,,,
2007-11-06,,,,,,,,,,,,,,,,
2007-11-07,,,,,,,,,,,,,,,,
2007-11-08,,,,,,,,,,,,,,,,
2007-11-09,,,,,,,,,,,,,,,,
2007-11-12,,,,,,,,,,,,,,,,
2007-11-13,,,,,,,,,,,,,,,,
2007-11-14,,,,,,,,,,,,,,,,
2007-11-15,,,,,,,,,,,,,,,,
2007-11-16,,,,,,,,,,,,,,,,
2007-11-19,,,,,,,,,,,,,,,,
2007-11-20,,,,,,,,,,,,,,,,
2007-11-21,,,,,,,,,,,,,,,,
2007-11-23,,,,,,,,,,,,,,,,
2007-11-26,,,,,,,,,,,,,,,,
2007-11-27,,,,,,,,,,,,,,,,
2007-11-28,,,,,,,,,,,,,,,,
2007-11-29,,,,,,,,,,,,,,,,
2007-11-30,,,,,,,,,,,,,,,,
2007-12-03,,,,,,,,,,,,,,,,
2007-12-04,,,,,,,,,,,,,,,,
2007-12-05,,,,,,,,,,,,,,,,
2007-12-06,,,,,,,,,,,,,,,,
2007-12-07,,,,,,,,,,,,,,,,
2007-12-10,,,,,,,,,,,,,,,,
2007-12-11,,,,,,,,,,,,,,,,
2007-12-12,,,,,,,,,,,,,,,,
2007-12-13,,,,,,,,,,,,,,,,
2007-12-14,,,,,,,,,,,,,,,,
2007-12-17,,,,,,,,,,,,,,,,
2007-12-18,,,,,,,,,,,,,,,,
2007-12-19,,,,,,,,,,,,,,,,
2007-12-20,,,,,,,,,,,,,,,,
2007-12-21,,,,,,,,,,,,,,,,
2007-12-24,,,,,,,,,,,,,,,,
2007-12-26,,,,,,,,,,,,,,,,
2007-12-27,,,,,,,,,,,,,,,,
2007-12-28,,,,,,,,,,,,,,,,
2007-12-31,,,,,,,,,,,,,,,,
2008-01-02,,,,,,,,,,,,,,,,
2008-01-03,0.0012586518340636224,-0.00023432075581730327,4.357957654504312e-05,0.00015008234524647616,0.0008363723495586051,0.0007411631992732027,0.00209884223926629,0.001808893227729751,0.0007579407242947856,0.0022249061296467686,-0.006051896730855306,0.00279033213830469,0.0007318278066663454,-0.0008439617995291871,0.0026192047245860816,
2008-01-04,-0.019696377709131397,-0.009279476858479008,-0.011146607128217868,-0.010882782202224784,-0.010401495762970737,-0.010634000804110456,-0.0119536032001913,-0.012469197485118079,-0.015468944127886443,-0.016932535292003427,-0.017270390200055274,-0.018235065089516313,-0.018723425268871587,-0.016602951612225025,-0.011686983790551709,
2008-01-07,-0.0007763321075421769,-6.98256136852037e-05,-0.0010154877711665788,0.0010441745894044898,0.0005375840709849201,5.2875946367714294e-05,-0.0006716730415779137,-0.0013291616126855032,0.00038306845168807347,0.0016394481627849623,0.0020417399675953796,-0.0006000723766713677,-0.0015761423742400415,0.0006853462671965184,-0.0006369363112846304,
